soltu_id,pgsc_id,evalue
Soltu.DM.05G004710.3,PGSC0003DMC400053170,0.0
Soltu.DM.08G023530.1,PGSC0003DMC400003311,1e-157
Soltu.DM.02G011370.1,PGSC0003DMC400036191,8e-31
Soltu.DM.10G006740.1,PGSC0003DMC400018147,0.0
Soltu.DM.04G001760.1,PGSC0003DMC400013231,0.0
Soltu.DM.12G029570.1,PGSC0003DMC400026923,0.0
Soltu.DM.11G000550.1,PGSC0003DMC400068249,5e-42
Soltu.DM.03G011720.1,PGSC0003DMC400032140,0.0
Soltu.DM.05G024780.6,PGSC0003DMC400040753,0.0
Soltu.DM.05G022840.2,PGSC0003DMC400047249,0.0
Soltu.DM.03G033090.1,PGSC0003DMC400050164,5e-74
Soltu.DM.06G034860.1,PGSC0003DMC400034916,0.0
Soltu.DM.11G025870.1,PGSC0003DMC400044035,0.0
Soltu.DM.03G010710.1,PGSC0003DMC400062496,0.0
Soltu.DM.11G006760.1,PGSC0003DMC400036524,0.0
Soltu.DM.10G016980.1,PGSC0003DMC400056451,1e-77
Soltu.DM.10G030300.1,PGSC0003DMC400012779,0.0
Soltu.DM.11G011390.1,PGSC0003DMC400001684,0.0
Soltu.DM.12G003250.1,PGSC0003DMC400069150,1e-140
Soltu.DM.03G002670.1,PGSC0003DMC400009037,0.0
Soltu.DM.04G005940.2,PGSC0003DMC400055621,0.0
Soltu.DM.01G027000.1,PGSC0003DMC400012000,0.0
Soltu.DM.08G028050.2,PGSC0003DMC400021557,0.0
Soltu.DM.01G026700.1,PGSC0003DMC400011982 Serine carboxypeptidase,0.0
Soltu.DM.11G019790.1,,Error
Soltu.DM.07G018160.1,,Error
Soltu.DM.01G052000.1,,Error
Soltu.DM.10G008490.1,PGSC0003DMC400023240,0.0
Soltu.DM.11G015870.1,PGSC0003DMC400059351,0.0
Soltu.DM.07G012950.1,PGSC0003DMC400050904,0.0
Soltu.DM.10G004950.1,PGSC0003DMC400039578,0.0
Soltu.DM.12G004060.1,PGSC0003DMC400051155,0.0
Soltu.DM.08G030180.1,PGSC0003DMC400021637,0.0
Soltu.DM.03G028920.1,PGSC0003DMC400042425,0.0
Soltu.DM.03G037000.3,PGSC0003DMC400039713,0.0
Soltu.DM.02G019750.2,PGSC0003DMC400003696,0.0
Soltu.DM.07G012130.2,PGSC0003DMC400031390,0.0
Soltu.DM.04G012300.1,PGSC0003DMC400050882,4e-10
Soltu.DM.04G000490.1,PGSC0003DMC400031103,0.0
Soltu.DM.08G008890.1,,Error
Soltu.DM.05G023540.1,PGSC0003DMC400047204,0.0
Soltu.DM.12G021260.1,PGSC0003DMC400051943,0.0
Soltu.DM.11G012160.1,PGSC0003DMC400040263,0.0
Soltu.DM.08G006060.1,PGSC0003DMC400043779,0.0
Soltu.DM.03G014140.2,PGSC0003DMC400006063,0.0
Soltu.DM.09G017810.1,,Error
Soltu.DM.07G021500.1,PGSC0003DMC400030192,0.0
Soltu.DM.06G002270.1,PGSC0003DMC400006074,0.0
Soltu.DM.01G013260.1,,Error
Soltu.DM.08G011800.4,PGSC0003DMC400023014,0.0
Soltu.DM.01G034310.4,PGSC0003DMC400000425,0.0
Soltu.DM.01G030800.1,PGSC0003DMC400045219,0.0
Soltu.DM.12G018810.1,PGSC0003DMC400048689,1e-17
Soltu.DM.10G015370.1,PGSC0003DMC400014470,0.0
Soltu.DM.01G012020.1,PGSC0003DMC400054189,1e-30
Soltu.DM.05G006920.2,PGSC0003DMC400039177,0.0
Soltu.DM.04G009390.1,PGSC0003DMC400040818,0.0
Soltu.DM.06G028250.1,PGSC0003DMC400046935,0.0
Soltu.DM.05G010100.2,,Error
Soltu.DM.01G048760.1,PGSC0003DMC400044998,0.0
Soltu.DM.01G047350.2,PGSC0003DMC400044659,0.0
Soltu.DM.11G003960.1,PGSC0003DMC400028264,0.0
Soltu.DM.04G000620.1,PGSC0003DMC400052087,6e-46
Soltu.DM.10G014150.1,PGSC0003DMC400058485,0.0
Soltu.DM.05G005000.1,PGSC0003DMC400053048,0.0
Soltu.DM.04G020350.1,PGSC0003DMC400027741,4e-66
Soltu.DM.08G009710.1,PGSC0003DMC400067911,1e-110
Soltu.DM.02G006200.1,PGSC0003DMC400056355,0.0
Soltu.DM.03G006460.1,PGSC0003DMC400032710,0.0
Soltu.DM.04G015080.1,PGSC0003DMC400046403,1e-131
Soltu.DM.07G022910.1,PGSC0003DMC400061375,1e-108
Soltu.DM.01G010110.1,PGSC0003DMC400007486,0.0
Soltu.DM.09G017260.3,PGSC0003DMC400048579,0.0
Soltu.DM.08G027070.2,PGSC0003DMC400005451,0.0
Soltu.DM.02G000530.1,,Error
Soltu.DM.06G015260.1,PGSC0003DMC400050912,0.0
Soltu.DM.11G023920.7,PGSC0003DMC400032385,0.0
Soltu.DM.10G005670.1,PGSC0003DMC400033664,0.0
Soltu.DM.10G021000.2,PGSC0003DMC400065555,0.0
Soltu.DM.06G027550.1,PGSC0003DMC400046800,0.0
Soltu.DM.04G036180.3,PGSC0003DMC400006624,0.0
Soltu.DM.02G014090.1,PGSC0003DMC400017144,0.0
Soltu.DM.02G022130.1,,Error
Soltu.DM.06G020800.1,PGSC0003DMC400009208,0.0
Soltu.DM.12G002770.2,,Error
Soltu.DM.08G019360.1,PGSC0003DMC400058778,0.0
Soltu.DM.01G006670.1,PGSC0003DMC400025964,0.0
Soltu.DM.03G011120.1,,Error
Soltu.DM.10G025040.2,PGSC0003DMC400049114,0.0
Soltu.DM.07G001810.1,PGSC0003DMC400047750,0.0
Soltu.DM.07G005880.1,PGSC0003DMC400011121,3e-16
Soltu.DM.11G024830.3,PGSC0003DMC400002210,7e-10
Soltu.DM.03G016340.1,,Error
Soltu.DM.02G007050.2,PGSC0003DMC400018411,0.0
Soltu.DM.04G020860.7,PGSC0003DMC400018607,0.0
Soltu.DM.08G025270.4,PGSC0003DMC400008411,0.0
Soltu.DM.06G017370.1,,Error
Soltu.DM.06G030250.2,PGSC0003DMC400012703,1e-109
Soltu.DM.10G001090.2,PGSC0003DMC400025316,0.0
Soltu.DM.11G021770.1,PGSC0003DMC400062023,0.0
Soltu.DM.02G002460.1,,Error
Soltu.DM.10G019390.1,,Error
Soltu.DM.03G003210.1,PGSC0003DMC400032564,0.0
Soltu.DM.11G016480.1,PGSC0003DMC400032644,0.0
Soltu.DM.09G024210.1,PGSC0003DMC400055111,0.0
Soltu.DM.06G023810.5,PGSC0003DMC400049703,0.0
Soltu.DM.08G005490.1,PGSC0003DMC400025743,0.0
Soltu.DM.09G015640.1,PGSC0003DMC400064066,0.0
Soltu.DM.04G033970.1,PGSC0003DMC400014110,0.0
Soltu.DM.11G014700.1,,Error
Soltu.DM.03G013380.1,PGSC0003DMC400060267,1e-171
Soltu.DM.01G033080.1,PGSC0003DMC400000337,0.0
Soltu.DM.02G017690.1,PGSC0003DMC400051773,0.0
Soltu.DM.08G015970.1,PGSC0003DMC400013069,1e-180
Soltu.DM.09G016770.1,PGSC0003DMC400004554,3e-37
Soltu.DM.09G005680.1,PGSC0003DMC400037351,0.0
Soltu.DM.05G014370.1,PGSC0003DMC400039828,0.0
Soltu.DM.11G015810.1,PGSC0003DMC400022514,1e-105
Soltu.DM.09G000430.1,PGSC0003DMC400014907,0.0
Soltu.DM.03G037210.1,PGSC0003DMC400024701,0.0
Soltu.DM.07G016340.1,,Error
Soltu.DM.04G034760.3,PGSC0003DMC400029501,0.0
Soltu.DM.07G010230.1,,Error
Soltu.DM.12G027310.3,PGSC0003DMC400013939,0.0
Soltu.DM.10G027390.1,PGSC0003DMC400023301,6e-13
Soltu.DM.11G021610.1,PGSC0003DMC400013115,0.0
Soltu.DM.05G025090.1,PGSC0003DMC400040724,0.0
Soltu.DM.10G025120.1,PGSC0003DMC400048920,0.0
Soltu.DM.12G028170.1,PGSC0003DMC400013868,0.0
Soltu.DM.12G011890.1,PGSC0003DMC400027758,0.0
Soltu.DM.08G007040.1,PGSC0003DMC400013263,0.0
Soltu.DM.03G025580.1,PGSC0003DMC400008994,1e-124
Soltu.DM.02G006500.1,PGSC0003DMC400027177,0.0
Soltu.DM.09G008010.1,PGSC0003DMC400067075,1e-118
Soltu.DM.02G027250.1,PGSC0003DMC400037134,0.0
Soltu.DM.12G016930.1,PGSC0003DMC400066891,0.0
Soltu.DM.07G014160.1,PGSC0003DMC400020813,0.0
Soltu.DM.06G002360.1,PGSC0003DMC400038101,0.0
Soltu.DM.09G002460.2,PGSC0003DMC400015699,1e-177
Soltu.DM.09G003750.1,PGSC0003DMC400029423,8e-19
Soltu.DM.05G025030.1,PGSC0003DMC400040733,0.0
Soltu.DM.08G018770.1,PGSC0003DMC400051526,0.0
Soltu.DM.01G032490.2,PGSC0003DMC400029795 AP2/ERF domain-containing transcription factor,0.0
Soltu.DM.06G024700.1,PGSC0003DMC400044344,0.0
Soltu.DM.01G016550.1,PGSC0003DMC400040082,2e-25
Soltu.DM.02G000370.1,,Error
Soltu.DM.12G011310.1,PGSC0003DMC400025444,0.0
Soltu.DM.05G009700.1,PGSC0003DMC400064589 MYBR domain class transcription factor,0.0
Soltu.DM.09G005670.1,PGSC0003DMC400057344,0.0
Soltu.DM.06G012530.1,PGSC0003DMC400037410,0.0
Soltu.DM.07G019180.1,,Error
Soltu.DM.06G026040.1,PGSC0003DMC400005168,5e-08
Soltu.DM.06G033080.1,PGSC0003DMC400060761,0.0
Soltu.DM.08G006660.1,PGSC0003DMC400052515,0.0
Soltu.DM.01G018280.1,PGSC0003DMC400063855,4e-65
Soltu.DM.05G024190.1,PGSC0003DMC400013563,0.0
Soltu.DM.02G006380.1,PGSC0003DMC400027144,0.0
Soltu.DM.12G021020.2,PGSC0003DMC400051895,0.0
Soltu.DM.06G019760.1,PGSC0003DMC400045264,0.0
Soltu.DM.02G030740.1,PGSC0003DMC400002462,0.0
Soltu.DM.04G023890.1,PGSC0003DMC400036392,0.0
Soltu.DM.S000320.1,,Error
Soltu.DM.11G008400.1,PGSC0003DMC400044321,0.0
Soltu.DM.02G028910.1,PGSC0003DMC400007178,3e-27
Soltu.DM.02G008880.1,PGSC0003DMC400061694,8e-85
Soltu.DM.04G027860.1,PGSC0003DMC400043482,0.0
Soltu.DM.02G012420.2,PGSC0003DMC400036759,0.0
Soltu.DM.04G004780.1,PGSC0003DMC400043899,0.0
Soltu.DM.01G026740.1,PGSC0003DMC400012116,1e-161
Soltu.DM.11G019150.1,PGSC0003DMC400054457,0.0
Soltu.DM.10G017240.1,PGSC0003DMC400020375,8e-59
Soltu.DM.01G037060.2,PGSC0003DMC400038959,0.0
Soltu.DM.12G001720.1,PGSC0003DMC400008172 Pectinesterase,0.0
Soltu.DM.07G004830.1,PGSC0003DMC400050083,0.0
Soltu.DM.05G026930.1,PGSC0003DMC400040588,0.0
Soltu.DM.02G032140.1,PGSC0003DMC400060875,0.0
Soltu.DM.05G022150.1,PGSC0003DMC400020674,0.0
Soltu.DM.01G015840.6,PGSC0003DMC400031478,0.0
Soltu.DM.12G010470.1,PGSC0003DMC400013414,0.0
Soltu.DM.05G025540.2,PGSC0003DMC400040486,0.0
Soltu.DM.04G004470.1,,Error
Soltu.DM.01G002220.2,PGSC0003DMC400055327,1e-166
Soltu.DM.01G027920.1,PGSC0003DMC400043841,0.0
Soltu.DM.09G003420.1,PGSC0003DMC400015784,1e-107
Soltu.DM.10G012510.1,PGSC0003DMC400030912,0.0
Soltu.DM.09G019060.1,PGSC0003DMC400060664,1e-171
Soltu.DM.12G026180.1,PGSC0003DMC400005290,0.0
Soltu.DM.01G024400.2,PGSC0003DMC400015817 Peroxiredoxin,0.0
Soltu.DM.12G016590.1,PGSC0003DMC400052413,0.0
Soltu.DM.11G019440.5,PGSC0003DMC400052255,0.0
Soltu.DM.04G014220.1,PGSC0003DMC400044353,0.0
Soltu.DM.01G039810.2,PGSC0003DMC400042821,0.0
Soltu.DM.07G027550.2,PGSC0003DMC400038320,0.0
Soltu.DM.04G023680.3,PGSC0003DMC400054342,0.0
Soltu.DM.01G019310.1,PGSC0003DMC400058892,1e-48
Soltu.DM.03G010520.1,PGSC0003DMC400002057,1e-115
Soltu.DM.06G002690.1,PGSC0003DMC400018844 Gene of unknown function,0.0
Soltu.DM.06G010690.2,PGSC0003DMC400048626,0.0
Soltu.DM.01G052130.2,PGSC0003DMC400031444,0.0
Soltu.DM.01G041370.1,PGSC0003DMC400031827,0.0
Soltu.DM.05G024470.1,PGSC0003DMC400014820,0.0
Soltu.DM.11G023530.5,PGSC0003DMC400034204,4e-45
Soltu.DM.12G011600.1,PGSC0003DMC400025463,0.0
Soltu.DM.05G021320.2,PGSC0003DMC400028224,2e-60
Soltu.DM.09G013990.1,PGSC0003DMC400067212,1e-102
Soltu.DM.12G025710.4,PGSC0003DMC400000679,0.0
Soltu.DM.08G018500.1,PGSC0003DMC400051446,0.0
Soltu.DM.03G028880.2,PGSC0003DMC400042620,0.0
Soltu.DM.12G010700.2,PGSC0003DMC400049889,0.0
Soltu.DM.02G017560.3,PGSC0003DMC400051724,0.0
Soltu.DM.08G018000.1,PGSC0003DMC400026005,0.0
Soltu.DM.01G020000.1,PGSC0003DMC400027391,3e-21
Soltu.DM.02G021420.1,PGSC0003DMC400031014,0.0
Soltu.DM.05G020270.2,PGSC0003DMC400012416,0.0
Soltu.DM.07G003090.1,PGSC0003DMC400005078,3e-24
Soltu.DM.08G022700.1,PGSC0003DMC400030594,0.0
Soltu.DM.11G022600.1,PGSC0003DMC400014271,0.0
Soltu.DM.01G039360.1,PGSC0003DMC400042779,0.0
Soltu.DM.07G005680.1,PGSC0003DMC400060192,0.0
Soltu.DM.06G015930.1,PGSC0003DMC400009746,1e-21
Soltu.DM.07G017240.1,PGSC0003DMC400018722,0.0
Soltu.DM.05G015570.1,,Error
Soltu.DM.12G028420.5,PGSC0003DMC400013769,0.0
Soltu.DM.06G022830.1,PGSC0003DMC400008571,0.0
Soltu.DM.10G005900.1,PGSC0003DMC400033672,0.0
Soltu.DM.06G002810.1,PGSC0003DMC400035710,0.0
Soltu.DM.01G024690.1,PGSC0003DMC400015835,0.0
Soltu.DM.01G044140.1,PGSC0003DMC400051813,0.0
Soltu.DM.01G051290.1,PGSC0003DMC400031453,0.0
Soltu.DM.08G022020.1,PGSC0003DMC400016433,0.0
Soltu.DM.07G009040.1,,Error
Soltu.DM.04G009380.1,PGSC0003DMC400047252,1e-110
Soltu.DM.05G013450.1,PGSC0003DMC400004605,1e-128
Soltu.DM.07G009310.2,PGSC0003DMC400007918,0.0
Soltu.DM.11G001830.1,PGSC0003DMC400029677,0.0
Soltu.DM.03G033410.2,PGSC0003DMC400009964,0.0
Soltu.DM.12G000560.4,PGSC0003DMC400041255,0.0
Soltu.DM.01G051510.1,PGSC0003DMC400032496,0.0
Soltu.DM.03G008980.1,PGSC0003DMC400018326,0.0
Soltu.DM.01G041300.1,PGSC0003DMC400031765,0.0
Soltu.DM.04G002790.1,PGSC0003DMC400052673,1e-126
Soltu.DM.09G017580.1,PGSC0003DMC400036452,0.0
Soltu.DM.03G029120.1,PGSC0003DMC400042636,0.0
Soltu.DM.08G025390.2,PGSC0003DMC400008491,0.0
Soltu.DM.01G014270.1,,Error
Soltu.DM.05G021380.1,PGSC0003DMC400029361,0.0
Soltu.DM.04G027380.1,PGSC0003DMC400011288,0.0
Soltu.DM.01G006200.1,PGSC0003DMC400015313,0.0
Soltu.DM.05G024880.1,PGSC0003DMC400040534,0.0
Soltu.DM.12G013040.1,PGSC0003DMC400066891,1e-114
Soltu.DM.06G032950.1,PGSC0003DMC400053037,1e-121
Soltu.DM.02G023710.6,PGSC0003DMC400006514,0.0
Soltu.DM.12G002670.1,PGSC0003DMC400008246,0.0
Soltu.DM.01G015190.2,PGSC0003DMC400041513,0.0
Soltu.DM.11G022450.4,PGSC0003DMC400014205,0.0
Soltu.DM.01G031330.1,PGSC0003DMC400045160,0.0
Soltu.DM.01G013350.2,,Error
Soltu.DM.01G027860.1,PGSC0003DMC400043845,0.0
Soltu.DM.08G001560.1,PGSC0003DMC400015381,0.0
Soltu.DM.01G037840.1,PGSC0003DMC400049805,0.0
Soltu.DM.06G025190.1,PGSC0003DMC400007268,0.0
Soltu.DM.04G036540.5,PGSC0003DMC400017545,0.0
Soltu.DM.01G037180.1,,Error
Soltu.DM.09G021830.1,PGSC0003DMC400002184,0.0
Soltu.DM.02G016520.1,PGSC0003DMC400039819,0.0
Soltu.DM.08G013190.1,PGSC0003DMC400005827,0.0
Soltu.DM.04G014510.1,,Error
Soltu.DM.02G020330.2,,Error
Soltu.DM.09G008190.1,PGSC0003DMC400032831,1e-70
Soltu.DM.08G029420.1,PGSC0003DMC400062162,1e-114
Soltu.DM.07G022840.1,PGSC0003DMC400048035,0.0
Soltu.DM.06G000550.1,PGSC0003DMC400025769,0.0
Soltu.DM.04G001780.1,PGSC0003DMC400013246,0.0
Soltu.DM.05G002850.2,PGSC0003DMC400022968,0.0
Soltu.DM.01G004150.1,PGSC0003DMC400018926,0.0
Soltu.DM.04G022580.1,,Error
Soltu.DM.03G027730.1,PGSC0003DMC400042549,0.0
Soltu.DM.03G025890.1,PGSC0003DMC400031569,0.0
Soltu.DM.08G015390.1,PGSC0003DMC400016973,0.0
Soltu.DM.06G010450.1,PGSC0003DMC400062301,0.0
Soltu.DM.06G034360.1,PGSC0003DMC400019257,1e-102
Soltu.DM.02G008350.1,PGSC0003DMC400001446,0.0
Soltu.DM.04G034480.1,PGSC0003DMC400020703,0.0
Soltu.DM.01G042060.1,PGSC0003DMC400036008,0.0
Soltu.DM.04G002260.1,PGSC0003DMC400010663,0.0
Soltu.DM.12G000830.1,PGSC0003DMC400069337,0.0
Soltu.DM.04G008840.1,PGSC0003DMC400040791,0.0
Soltu.DM.06G017560.1,PGSC0003DMC400030678,0.0
Soltu.DM.01G031660.2,PGSC0003DMC400045034,0.0
Soltu.DM.09G022490.1,PGSC0003DMC400006784,0.0
Soltu.DM.03G016870.1,PGSC0003DMC400025217,0.0
Soltu.DM.11G000200.1,PGSC0003DMC400023518,0.0
Soltu.DM.03G028890.1,PGSC0003DMC400042622,0.0
Soltu.DM.07G023150.1,PGSC0003DMC400012512,0.0
Soltu.DM.06G003540.1,PGSC0003DMC400060750,1e-159
Soltu.DM.04G032800.1,PGSC0003DMC400037322,0.0
Soltu.DM.02G021930.1,PGSC0003DMC400024107,0.0
Soltu.DM.01G034450.3,PGSC0003DMC400000431,0.0
Soltu.DM.11G000600.3,PGSC0003DMC400023634,0.0
Soltu.DM.06G034980.1,PGSC0003DMC400041585,0.0
Soltu.DM.05G012660.1,PGSC0003DMC400067126,7e-51
Soltu.DM.09G020130.1,PGSC0003DMC400033560,0.0
Soltu.DM.01G012470.2,,Error
Soltu.DM.04G021160.1,PGSC0003DMC400012868,0.0
Soltu.DM.05G011480.1,PGSC0003DMC400026252,0.0
Soltu.DM.05G000550.1,,Error
Soltu.DM.04G033310.1,PGSC0003DMC400014071,0.0
Soltu.DM.04G013970.1,PGSC0003DMC400054728,3e-24
Soltu.DM.10G018000.1,PGSC0003DMC400015455,0.0
Soltu.DM.10G016400.1,PGSC0003DMC400066769,1e-141
Soltu.DM.01G018720.1,PGSC0003DMC400023116 Transposase En/Spm,1e-125
Soltu.DM.09G007420.1,PGSC0003DMC400048194,2e-30
Soltu.DM.09G031550.1,PGSC0003DMC400037457,0.0
Soltu.DM.09G028800.1,PGSC0003DMC400066938,1e-159
Soltu.DM.08G005160.1,PGSC0003DMC400010396,0.0
Soltu.DM.01G045500.2,PGSC0003DMC400016526,3e-15
Soltu.DM.05G006670.2,PGSC0003DMC400039210,0.0
Soltu.DM.08G028240.1,PGSC0003DMC400021542,0.0
Soltu.DM.10G003280.1,PGSC0003DMC400064087,0.0
Soltu.DM.06G025800.1,PGSC0003DMC400055801,0.0
Soltu.DM.09G022920.1,PGSC0003DMC400020098,0.0
Soltu.DM.11G007360.2,PGSC0003DMC400003558,0.0
Soltu.DM.08G007630.1,PGSC0003DMC400030931,0.0
Soltu.DM.08G029850.1,PGSC0003DMC400021675,0.0
Soltu.DM.10G006330.1,PGSC0003DMC400065491 Gene of unknown function,1e-40
Soltu.DM.12G014970.1,PGSC0003DMC400037728,1e-115
Soltu.DM.06G011570.1,PGSC0003DMC400027948,6e-71
Soltu.DM.03G016880.1,PGSC0003DMC400025218,0.0
Soltu.DM.09G004620.1,,Error
Soltu.DM.06G017530.1,PGSC0003DMC400030701,0.0
Soltu.DM.12G011670.2,PGSC0003DMC400025476,0.0
Soltu.DM.09G020610.1,PGSC0003DMC400013357,1e-69
Soltu.DM.07G010700.3,PGSC0003DMC400014797,0.0
Soltu.DM.12G007430.1,PGSC0003DMC400062736,0.0
Soltu.DM.01G030970.5,PGSC0003DMC400045203,0.0
Soltu.DM.07G004980.1,PGSC0003DMC400069215,4e-30
Soltu.DM.03G022100.2,PGSC0003DMC400065058,0.0
Soltu.DM.01G006050.1,PGSC0003DMC400067615,0.0
Soltu.DM.10G011360.3,PGSC0003DMC400046292,1e-139
Soltu.DM.10G015480.2,PGSC0003DMC400014503,0.0
Soltu.DM.02G028810.2,PGSC0003DMC400007210,0.0
Soltu.DM.06G006680.1,PGSC0003DMC400062479,2e-34
Soltu.DM.10G011850.2,PGSC0003DMC400002065,0.0
Soltu.DM.09G012130.1,PGSC0003DMC400038943,0.0
Soltu.DM.01G044210.1,PGSC0003DMC400022250,0.0
Soltu.DM.05G010310.1,PGSC0003DMC400019051,0.0
Soltu.DM.06G019970.3,PGSC0003DMC400045327,0.0
Soltu.DM.11G013840.1,,Error
Soltu.DM.07G026160.1,PGSC0003DMC400064709,0.0
Soltu.DM.12G028650.1,PGSC0003DMC400013755,1e-149
Soltu.DM.01G016940.1,PGSC0003DMC400013598,1e-106
Soltu.DM.12G006340.1,PGSC0003DMC400020478,0.0
Soltu.DM.05G021860.2,PGSC0003DMC400037820,0.0
Soltu.DM.08G003890.1,PGSC0003DMC400031165,0.0
Soltu.DM.01G027550.2,,Error
Soltu.DM.10G013990.1,PGSC0003DMC400044489,0.0
Soltu.DM.12G023020.1,PGSC0003DMC400024292,0.0
Soltu.DM.02G032170.1,PGSC0003DMC400002540,0.0
Soltu.DM.02G026390.1,PGSC0003DMC400053348,1e-13
Soltu.DM.06G011060.1,PGSC0003DMC400029101,0.0
Soltu.DM.01G027520.1,PGSC0003DMC400012169,0.0
Soltu.DM.12G001400.1,PGSC0003DMC400008346,0.0
Soltu.DM.09G006350.1,PGSC0003DMC400003119,1e-128
Soltu.DM.07G019920.1,PGSC0003DMC400031959,0.0
Soltu.DM.12G021690.1,PGSC0003DMC400048467,0.0
Soltu.DM.09G009770.1,PGSC0003DMC400029775,0.0
Soltu.DM.12G026310.1,PGSC0003DMC400005279,0.0
Soltu.DM.07G010840.2,PGSC0003DMC400008823,1e-124
Soltu.DM.11G013530.1,PGSC0003DMC400032734,1e-30
Soltu.DM.06G012200.1,PGSC0003DMC400031180,2e-73
Soltu.DM.10G000040.2,PGSC0003DMC400020015,0.0
Soltu.DM.02G013680.1,PGSC0003DMC400014534,0.0
Soltu.DM.10G002790.4,PGSC0003DMC400036858,0.0
Soltu.DM.01G014990.1,,Error
Soltu.DM.02G029330.1,,Error
Soltu.DM.09G021670.1,PGSC0003DMC400042027,0.0
Soltu.DM.09G028410.1,PGSC0003DMC400051646,0.0
Soltu.DM.04G007120.1,PGSC0003DMC400020324,0.0
Soltu.DM.06G014260.1,PGSC0003DMC400028482,0.0
Soltu.DM.01G044480.1,PGSC0003DMC400039964,4e-15
Soltu.DM.12G000280.1,PGSC0003DMC400068211,0.0
Soltu.DM.05G012760.2,PGSC0003DMC400004022,0.0
Soltu.DM.01G024330.1,PGSC0003DMC400015809,1e-113
Soltu.DM.12G025100.1,PGSC0003DMC400000748,0.0
Soltu.DM.12G009540.1,PGSC0003DMC400035401,1e-11
Soltu.DM.07G016790.1,PGSC0003DMC400011406,0.0
Soltu.DM.04G028920.1,PGSC0003DMC400065814,2e-64
Soltu.DM.01G010030.1,,Error
Soltu.DM.03G024930.2,PGSC0003DMC400026615,0.0
Soltu.DM.06G026920.1,PGSC0003DMC400063871,0.0
Soltu.DM.03G030320.1,PGSC0003DMC400033919,0.0
Soltu.DM.10G007050.1,PGSC0003DMC400024332,2e-26
